index_code,con_code,trade_date,weight,stock_name
399006.SZ,315568.SZ,20250930,2.4987680707826563,创业板股票001
399006.SZ,318777.SZ,20250930,0.5281497472162276,创业板股票002
399006.SZ,311496.SZ,20250930,1.7398681788065677,创业板股票003
399006.SZ,327985.SZ,20250930,1.402161169660954,创业板股票004
399006.SZ,323681.SZ,20250930,0.8336254990832355,创业板股票005
399006.SZ,359098.SZ,20250930,1.5457614005772402,创业板股票006
399006.SZ,376904.SZ,20250930,0.9552743652606905,创业板股票007
399006.SZ,311369.SZ,20250930,1.7442137256455192,创业板股票008
399006.SZ,359017.SZ,20250930,2.1229804894712925,创业板股票009
399006.SZ,354279.SZ,20250930,0.47151251488998003,创业板股票010
399006.SZ,335222.SZ,20250930,2.4012565037519336,创业板股票011
399006.SZ,340241.SZ,20250930,1.1676086569855528,创业板股票012
399006.SZ,381526.SZ,20250930,0.4053380520310879,创业板股票013
399006.SZ,368870.SZ,20250930,0.8399617935470289,创业板股票014
399006.SZ,380064.SZ,20250930,2.319262055048829,创业板股票015
399006.SZ,342641.SZ,20250930,1.508131886930649,创业板股票016
399006.SZ,327543.SZ,20250930,2.1915324655640283,创业板股票017
399006.SZ,375890.SZ,20250930,1.8704081686255023,创业板股票018
399006.SZ,368359.SZ,20250930,0.39084111600483823,创业板股票019
399006.SZ,384626.SZ,20250930,0.8636405635046067,创业板股票020
399006.SZ,393552.SZ,20250930,0.8725530903502963,创业板股票021
399006.SZ,328378.SZ,20250930,1.1298567857518436,创业板股票022
399006.SZ,313345.SZ,20250930,1.682546628082283,创业板股票023
399006.SZ,367195.SZ,20250930,1.7120611800366803,创业板股票024
399006.SZ,329505.SZ,20250930,0.5149902553639056,创业板股票025
399006.SZ,307575.SZ,20250930,1.5394286502615178,创业板股票026
399006.SZ,360766.SZ,20250930,0.30673623041969794,创业板股票027
399006.SZ,303569.SZ,20250930,0.31578181545171796,创业板股票028
399006.SZ,389450.SZ,20250930,2.447114918290352,创业板股票029
399006.SZ,381310.SZ,20250930,2.0884417581794366,创业板股票030
399006.SZ,394002.SZ,20250930,2.1377420734650134,创业板股票031
399006.SZ,302258.SZ,20250930,1.012313205031934,创业板股票032
399006.SZ,343515.SZ,20250930,1.8640879947573206,创业板股票033
399006.SZ,397984.SZ,20250930,1.3782297642529546,创业板股票034
399006.SZ,353102.SZ,20250930,2.0265095833138793,创业板股票035
